Key,File,Type,UsedInMainMenu,NoTranslate,english,Context,japanese
modLapinMultiLinkBoosterDesc,item_modifiers,Mod,,,"A multi-gear booster by Lapin. Increases work speed,reduces wear and stamina use.","","Lapinが仕上げた多重ギアブースター。作業速度を高め、耐久とスタミナの消耗を抑える。"
modLapinTurboBooster,item_modifiers,Mod,,,Lapin's Turbo Booster,,Lapinのターボブースター
modLapinTurboBoosterDesc,item_modifiers,Mod,,,"An elite booster crafted by Lapin to maximize vehicle speed and fuel efficiency.","","Lapinが設計した最上級のブースター。速度と燃費の両立を実現する究極のチューン。"
cntLapinBuilderBench,blocks,CraftingStation,,,Lapin's Builder Bench,,Lapinの建築ベンチ
lapinBuilderBenchDesc,blocks,CraftingStation,,,"A specialized workbench designed for efficient crafting of building materials.","","建築資材の効率生産のために設計された専用作業台。"
# ===== 医療係関連 =====,,,,,,,
npcMedicBear,entityclasses,Entity Name,,,Honey,,Honey
npcMedicBearName,entityclasses,Entity Name,,,Honey the Medic,,医療係Honey
bearPickUpNPC,items,Item,,,Bear Companion Totem,,Honeyを呼び出すお守り
bearPickUpNPCDesc,items,Item,,,"A totem that lets you summon your gentle medic,Honey.","","穏やかな医療係・Honeyを呼び出せるお守り。"
letter_welcome_medic,items,Quest,,,Worn Letter - Medic,,古びた手紙 - 医療係
letter_welcome_medicDesc,items,Quest,,,A gentle scent lingers on this letter. It feels oddly comforting.,,やさしい香りの残る手紙。不思議と心が落ち着く。
schematic_medic_letter,items,Item,,,Medic's Letter Craft Schematic,,医療係の手紙クラフト図面
schematic_medic_letterDesc,items,Item,,,Unlocks the recipe for the medic's welcome letter.,,医療係の仲間を呼ぶ手紙のクラフト方法を解放します。
medicSummonItem,items,Quest,,,Letter of Summoning - Medic,,医療係を召喚する手紙
desc_medicSummonItem,items,Quest,,,Read this to summon your gentle medic. Talk to them when they appear.,,これを読んで現れた医療係に話しかけてみよう。
quest_welcome_medic_title,quests,Quest,,,Welcome the Medic,,癒やしの仲間入り
quest_welcome_medic_subtitle,quests,Quest,,,A sweet offering to gain their trust,,甘い贈り物で信頼を得よう
quest_welcome_medicDesc,quests,Quest,,,You found a note mentioning a gentle healer living nearby. They say she adores honey — perhaps it will help you meet her.,,近くに住む優しい癒やし手の噂が書かれた手紙を見つけた。蜂蜜が大好きらしい……それがあれば会えるかもしれない。
honey_summon_message,buffs,Buff,,,Honey has arrived to help you!,,Honeyが助けに来たよ!
honey_revive_message,buffs,Buff,,,Honey has risen from the grave... again.,,Honeyが墓から蘇った…ふたたび。
reviveStoneHoney,Blocks,Block,,,Honey's grave marker.,,Honeyの墓標
quest_bear_support_trial_1_title,quests,Quest,,,Bear Support Trial I,,Honeyの支援試練 レベル1
quest_bear_support_trial_1_subtitle,quests,Quest,,,Mastering the Basics,,基本を身につけよう
quest_bear_support_trial_1Desc,quests,Quest,,,"Find and destroy a tree stump in the forest.\nHoney will teach you how to collect honey more efficiently.",,森の中にある切り株を探して壊してみよう。\nHoneyが蜂蜜の採り方のコツを教えてくれるよ。
quest_bear_support_trial_1_offer,quests,Quest,,,'Can you help me gather some honey the right way?',,「蜂蜜を集めるの、手伝ってくれる?」
quest_bear_support_trial_2_title,quests,Quest,,,Bear Support Trial II,,Honeyの支援試練 レベル2
quest_bear_support_trial_2_subtitle,quests,Quest,,,Craft a hive and harvest your first honey.,,養蜂箱を作り、はじめての蜂蜜を手に入れよう
quest_bear_support_trial_2Desc,quests,Quest,,,"Gather flowers,build a hive,and craft honey from nectar.",,お花を集めて養蜂箱で蜜を精製しましょう。
quest_bear_support_trial_2_offer,quests,Quest,,,Would you like to begin beekeeping with Honey?,,Honeyと一緒に養蜂をはじめてみませんか?
quest_bear_support_trial_3_title,quests,Quest,,,Bear Support Trial III,,Honeyの支援試練 レベル3
quest_bear_support_trial_3_subtitle,quests,Quest,,,Unearth the poison formula hidden underground.,,地中に眠る毒のレシピを掘り起こそう
quest_bear_support_trial_3Desc,quests,Quest,,,"Retrieve the ancient poison recipe from a buried chest,guarded by the contaminated dead.",,汚染された死者たちに守られた、古代の毒薬のレシピを埋もれた宝箱から回収せよ。
quest_bear_support_trial_3_offer,quests,Quest,,,I've heard rumors of a buried formula ... guarded by the contaminated dead. Do you have the courage to retrieve it?,,埋められた古代のレシピ……それを汚染された死者たちが守っているという噂があるの。取りに行ける勇気、あるかな?
quest_bear_support_trial_4_title,quests,Quest,,,Bear's Trial IV,,Honeyの支援試練 レベル4
quest_bear_support_trial_4_subtitle,quests,Quest,,,Defeat the Toxic Undead,,毒をまとうゾンビたちを倒せ
quest_bear_support_trial_4Desc,quests,Quest,,,Prove your resilience by defeating the toxic zombies threatening the land.,,猛毒のゾンビを倒し、Honeyとの絆をさらに深めよう。
quest_bear_support_trial_4_offer,quests,Quest,,,These toxic creatures are dangerous... But I believe in you. Can you defeat them?,,あの毒ゾンビたちは危険すぎる…でも、あなたならきっとやれる。お願い、倒してきて。
itemBearSupportActivator1,items,Item,,,Bear Charm I,,ベアチャームⅠ(いち)
itemBearSupportActivator1Desc,items,Item,,,"A charm filled with gentle healing power.\n[99FFFF]If you ever lose Honey's support,this charm may help restore it.",,"優しい癒しの力が込められたチャーム。\n[99FFFF]もし支援を失ってしまったら、このチャームをもう一度手にしてみてください。"
itemBearSupportActivator2,items,Item,,,Bear Charm II,,ベアチャームⅡ(に)
itemBearSupportActivator2Desc,items,Item,,,"The charm glows warmly with stronger remedies.\nTeaches the recipes:\nHoney's Healing Couch\n[FFCC66]If you ever lose Honey's support,this charm may help restore it.",,"あたたかな力が強まり、頼もしくなったチャーム。\n以下のレシピが解放されます:\nHoneyの癒しのソファ\n[FFCC66]もし支援を失ってしまったら、このチャームをもう一度手にしてみてください。"
itemBearSupportActivator3,items,Item,,,Bear Charm III,,ベアチャームⅢ(さん)
itemBearSupportActivator3Desc,items,Item,,,"Infused with medical expertise,it soothes pain with care.\nTeaches the recipes:\nHoney's Healing Mat\n[FF9999]If you ever lose Honey's support,this charm may help restore it.",,"熟練の癒しが宿るチャーム。痛みを優しく和らげます。\n以下のレシピが解放されます:\nHoneyの回復マット\n[FF9999]もし支援を失ってしまったら、このチャームをもう一度手にしてみてください。"
itemBearSupportActivator4,items,Item,,,Bear Charm IV,,ベアチャームⅣ(よん)
itemBearSupportActivator4Desc,items,Item,,,"A masterful charm that unlocks advanced medicine.\nTeaches the recipes:\nHoney's Emergency Bench ,Bear Charm: Ward\n[66CCFF]If you ever lose Honey's support,this charm may help restore it.",,"高度な医療を解き放つ熟練のチャーム。\n以下のレシピが解放されます:\nHoneyの応急処置作業台、ベアチャーム:守護\n[66CCFF]もし支援を失ってしまったら、このチャームをもう一度手にしてみてください。"
BearSupportLv1,buffs,Buff,,,Lv1,,レベル1
buffBearSupport1Desc,buffs,Buff,,,"Slightly increases max health and grants minor regeneration.\nAlso increases the chance to find honey from tree stumps.\nGrants partial resistance to minor poison effects.",,"最大体力が少し増加し、ゆるやかな再生効果が得られます。\nまた、切り株から蜂蜜が見つかりやすくなります。\n軽度の毒に対して一部の耐性が付きます。"
BearSupportLv2,buffs,Buff,,,Lv2,,レベル2
buffBearSupport2Desc,buffs,Buff,,,"Enhances max health and grants resistance to bleeding and laceration.\nAlso increases the chance to find honey from tree stumps.\nHas a chance to prevent injuries like bleeding or infection.\nAlso adds moderate resistance to poison (strong vs minor, some against elite).",,"最大体力がさらに増加し、出血や裂傷などのダメージに対する耐性がつきます。\nまた、切り株から蜂蜜が見つかりやすくなります。\n出血や感染などの異常状態を受けにくくなります。\n毒に対する耐性が向上します(軽度に強く、一部は中位の毒にも有効)。"
BearSupportLv3,buffs,Buff,,,Lv3,,レベル3
buffBearSupport3Desc,buffs,Buff,,,"Greatly enhances health recovery and stamina regeneration.\nFurther boosts resistance to bleeding,laceration,and infection.\nProvides reliable support for prolonged combat.\nProvides strong resistance to poison (effective against minor and elite; limited vs boss-level toxins).",,"体力の回復量とスタミナの回復速度が大きく向上します。\n出血・裂傷・感染などの異常状態への耐性がさらに強化されます。\n長期戦でも安定したサポートを発揮します。\n毒への耐性が大きく強化されます(軽度と中位に有効、ボス級の毒には一部有効)。"
BearSupportLv4,buffs,Buff,,,Lv4,,レベル4
buffBearSupport4Desc,buffs,Buff,,,"Massively boosts max health and all recovery effects.\nGreatly enhances resistance to critical injuries.\nUnlocks advanced survival tools,including emergency revival items.\nOffers very high resistance to poison, including some protection against boss-level toxins.\nAt this tier you can craft the Bear Charm: Ward for complete immunity while equipped.",,"最大体力とあらゆる回復効果が大幅に強化されます。\n致命的な異常状態への耐性も大きく向上します。\n蘇生用の緊急アイテムを含む高度な生存支援ツールが解放されます。\n毒に対する耐性が非常に高くなり、ボス級の毒にも一定の耐性を発揮します。\nこの段階で「ベアチャーム：守護」をクラフトでき、装備中は毒を完全無効化できます。"
modBearPoisonWard,item_modifiers,Mod,,,"Bear Charm: Ward","","ベアチャーム:守護"
modBearPoisonWardDesc,item_modifiers,Mod,,,"A bear ward charm for the chest. Socket into Chest Armor to nullify poison while equipped.","","胸防具に装着するベアチャーム(守護)。装備中は毒を無効化します。"
dialog_honey_greeting,Dialog,Statement,,,"Hey there.",,やあ
dialog_honey_menu_main,Dialog,Statement,,,Support & Healing Menu,,サポートと回復メニュー
dialog_honey_menu_trials,Dialog,Statement,,,Trial Missions,,試練の依頼
dialog_bear_start_trial_1,Dialog,Response,,,I want to start the first trial.,,最初の試練を始めたい
dialog_bear_confirm_start_trial_1,Dialog,Statement,,,"'Alright,your first mission is honey gathering. Will you help me out?'",,「じゃあ、まずは蜂蜜集めからだね。わたしの頼み、聞いてくれる?」
dialog_bear_start_confirm,Dialog,Response,,,"Yes,I'm ready.",,うん、やってみる
dialog_bear_trial2_entry,Dialog,Response,,,Let's talk about the second trial.,,次の試練について話そう
dialog_bear_trial2_entry_text,Dialog,Statement,,,"'Hmm... looks like you're ready to take the next step.'",,「ふむふむ、試練を進める気になったんだね?」
dialog_bear_start_trial_2,Dialog,Response,,,I'll try the second trial.,,2つ目の試練に挑戦する
dialog_bear_trial2_require_info,Dialog,Response,,,What do I need?,,必要なものは?
dialog_bear_trial2_explain,Dialog,Statement,,,"'You'll need 10 Support tickets. Do you have them?'",,「チケットが10枚必要だよ。持ってるかな?」
dialog_bear_confirm_start_trial_2,Dialog,Statement,,,"'Could you follow the manual and make one jar of honey for me?'",,「この手引きに従って蜂蜜を1つ作ってもらえる?」
dialog_bear_trial3_entry,Dialog,Response,,,I'm ready for the third trial.,,次は3つ目の試練だね
dialog_bear_trial3_entry_text,Dialog,Statement,,,"'Hehe... things are about to get serious!'",,「ふふ、ここからが本番かも?」
dialog_bear_start_trial_3,Dialog,Response,,,I'll take the third trial.,,3つ目の試練を始める
dialog_bear_trial3_require_info,Dialog,Response,,,What's required?,,必要な条件は?
dialog_bear_trial3_explain,Dialog,Statement,,,"'You'll need 20 Support tickets.'",,「チケット20枚だよ」
dialog_bear_confirm_start_trial_3,Dialog,Statement,,,"'Find this mysterious recipe for me... it might unlock something amazing!'",,「この不思議なレシピを見つけてきて。きっとすごいことに使えるんだ」
dialog_bear_trial4_entry,Dialog,Response,,,Let's do the final trial.,,最後の試練に挑戦したい
dialog_bear_trial4_entry_text,Dialog,Statement,,,"'At last... the final trial awaits you!'",,「ついに最後の試練だね…がんばって!」
dialog_bear_start_trial_4,Dialog,Response,,,I'm ready for the final challenge.,,最後の挑戦、受けるよ
dialog_bear_trial4_require_info,Dialog,Response,,,Do I need anything?,,必要なものある?
dialog_bear_trial4_explain,Dialog,Statement,,,"Of course,you'll need 30 Support tickets!",,「もちろんチケット30枚だよ!」
dialog_bear_confirm_start_trial_4,Dialog,Statement,,,"'This is the final trial. It's time to test the power to truly protect life.'",,「最後の試練だよ。命を守る、本当に大切な力を試す時なんだ。」
dialog_honey_menu_support,Dialog,Statement,,,Support Explanation,,サポート説明
dialog_honey_explain_support1,Dialog,Response,,,What does your support level 1 do?,,サポートレベル1って何してくれるの?
dialog_honey_support1_text,Dialog,Statement,,,"'Your health and natural healing improve a bit—and you'll get more honey from tree stumps! Plus, a touch of resistance to minor poison.'",,"「体力と自然治癒力が少し上がって切り株から蜂蜜が多く取れるようになるよ。さらに、軽い毒に少し耐性がつくよ。」"
dialog_honey_explain_support2,Dialog,Response,,,What does support level 2 add?,,レベル2で何ができるの?
dialog_honey_support2_text,Dialog,Statement,,,"'You can craft the Healing Couch—Honey's special comfort seat. Place it and relax! Also tougher against poison—strong vs minor, some vs elite.'",,"「Honeyの癒しのソファがクラフトできるよ。設置して使ってね。毒にも強くなるよ。軽い毒にはかなり強くて、中位の毒にも少し効くの。」"
dialog_honey_explain_support3,Dialog,Response,,,And support level 3?,,レベル3は?
dialog_honey_support3_text,Dialog,Statement,,,"'Your health and stamina regenerate faster, and you'll gain access to a special mat. Plus, strong poison resistance—effective vs minor and elite; limited vs boss.'",,"「体力とスタミナがもっと回復しやすくなるよ。あと、特別なマットも作れるの。毒への耐性もぐっと強くなるよ。軽度と中位にはしっかり効いて、ボス級にも少し効くの。」"
dialog_honey_explain_support4,Dialog,Response,,,What about support level 4?,,レベル4はどうなるの?
dialog_honey_support4_text,Dialog,Statement,,,"'It's super recovery mode! You'll be able to make powerful medicine—really amazing stuff! Also, much higher poison resistance—and you can craft the Bear Charm: Ward for full immunity while equipped.'",,"「もうね、超回復モード！すごいお薬が作れるようになるよ！それと毒への耐性も大幅アップ。『ベアチャーム：守護』を作れば、装備中は毒を完全無効化できるよ。」"
dialog_honey_followme,Dialog,Response,,,Come with me.,,ついてきて
dialog_honey_pickup,Dialog,Response,,,Hop in!,,入って!
dialog_honey_showpack,Dialog,Response,,,Show me what you've got.,,持ち物見せて
dialog_honey_stayhere,Dialog,Response,,,Stay right here.,,ここで待ってて
dialog_honey_guardhere,Dialog,Response,,,Guard this spot.,,ここを守って
dialog_honey_wander,Dialog,Response,,,Take a walk around.,,自由に歩いてていいよ
dialog_honey_hire,Dialog,Response,,,"'You want me on your team? Yay! I promise I'll take good care of you!'",,「仲間にしてくれるの?回復なら任せて!」
dialog_honey_menu_util,Dialog,Statement,,,Item Exchange Menu,,アイテム交換のメニュー
dialog_honey_unlock_poison_menu,Dialog,Response,,,Unlock poison bomb crafting (Requires Ancient Poison Formula),,毒の爆弾の製造メニューを解放する(古代の毒薬レシピが必要)
dialog_honey_confirm_unlock_poison_menu,Dialog,Statement,False,False,"'With this recipe,I can craft poison bombs.'",,「このレシピがあれば毒の爆弾が作れるよ。」
dialog_honey_unlock_confirm,Dialog,Response,,,"Here,take it",,はい、お願いね
dialog_honey_poison_bomb_exchange_menu,Dialog,Response,,,Trade 10 Honey for 10 Poison Bombs,,蜂蜜10個と毒の爆弾10個を交換する
dialog_honey_exchange_prompt,Dialog,Statement,,,"'Hmm... if you have 10 jars of honey,I could make them for you.'",,「蜂蜜が10個あれば…作ってあげられるけど?」
dialog_honey_confirm_exchange,Dialog,Response,,,Please make them!,,毒の爆弾お願い!
dialog_honey_return_menu,Dialog,Response,,,Back to Main Menu,,メインメニューに戻る
cntBearCouchRecovery,blocks,Block,,,Honey's Healing Couch,,Honeyの癒しのソファ
cntBearCouchRecoveryDesc,blocks,Block,,,"A cozy couch that grants gentle healing when rested upon.",,"そっと座ると、やさしく癒される特製ソファ。"
BearRestRegen,buffs,Buff,,,Honey's Rest,,Honeyのやすらぎ
buffBearRestRegenDesc,buffs,Buff,,,"Resting here grants gentle regeneration.",,"ここで休むと、やさしく回復します。"
cntBearHerbMat,blocks,Block,,,Honey's Healing Mat,,Honeyの回復マット
cntBearHerbMatDesc,blocks,Block,,,"A stained-glass healing mat designed by Honey.\nStanding on it grants slow regeneration and resistance.",,"Honeyが作ったステンドグラスの回復マット。\n上に立っている間、ゆっくり回復し、状態異常に強くなります。"
buffBearMatRecovery,buffs,Buff,,,Honey's Healing Aura,,Honeyの癒しのオーラ
buffBearMatRecoveryDesc,buffs,Buff,,,"Grants slow health regeneration and resistance to harmful effects while standing on the mat.",,"マットの上に立っている間、ゆっくり体力が回復し、有害な効果に対する耐性が上昇します。"
itemBeeManual,items,Item,,,Beekeeping Manual,,養蜂入門の手引き
itemBeeManualDesc,items,Item,,,Unlocks the secrets of flower nectar and hive crafting.,,蜜の素の作り方と養蜂箱の設置方法を学べます。
cntBeeHiveBox,blocks,Blocks,,,Beehive Box,,養蜂箱
cntbeeHiveBoxDesc,blocks,Blocks,,,A special workstation where flower essence is collected and transformed into honey.,,花のエッセンスを集めて蜂蜜に変える特別な作業台。
resourceFlowerBlend,items,Item,,,Flower Blend,,フラワーブレンド
resourceFlowerBlendDesc,items,Item,,,"A fragrant mixture of petals,ideal for extracting nectar in a beehive.",,香りのよい花びらの混合素材。養蜂箱に入れると蜜が採れます。
itemPoisonRecipeFound,items,Item,,,Ancient Poison Formula,,古代の毒薬レシピ
itemPoisonRecipeFoundDesc,items,Item,,,A weathered scroll describing how to brew toxins from rare herbs.Give this to Honey to unlock special item exchanges.,,希少な薬草から毒を精製する方法が記された古びた巻物。Honeyに渡すと、特別なアイテム交換ができる。
cntTreasurePoisonChest,blocks,Block,,,Chest of the Contaminated Dead,,汚染された死者たちの宝箱
cntTreasurePoisonChestDesc,blocks,Block,,,"An old,sealed chest buried deep underground. Strange green residue seeps from the cracks.",,地中深くに埋められた、封印された古い宝箱。隙間からは奇妙な緑色の液体がにじみ出ている。
cntTreasurePoisonChestInsecure,blocks,Block,,,Chest of the Contaminated Dead,,汚染された死者たちの宝箱
thrownAmmoPoisonBomb,items,Item,,,Poison Bomb,,毒の爆弾
thrownAmmoPoisonBombDesc,items,Item,,,A volatile bomb that spreads poisonous gas.,,毒ガスを撒き散らす危険な爆弾。
buffPoisonedTarget,buffs,Buff,,,Poisoned,,毒状態
buffPoisonedTargetDesc,buffs,Buff,,,You're suffering from poison. Movement speed and health are slowly decreasing.,,毒に冒されている。移動速度と体力が徐々に低下する。
cntBearEmergencyKit,blocks,Block,,,Honey's Emergency Bench,,Honeyの応急処置作業台
bearEmergencyKitDesc,blocks,Block,,,"A special workstation for crafting emergency recovery items and critical support tools.",,"応急処置アイテムや、緊急支援用の道具をクラフトできる特製作業台。"
itemBearReviveDrug,items,Item,,,Bear Miracle Pill,,ベア・ミラクルピル
itemBearReviveDrugDesc,items,Item,,,An emergency drug that instantly heals all wounds.,,緊急時にすべての傷を瞬時に癒す秘密の薬
itemBearEmergencyDrug,items,Item,,,Bear Emergency Pill,,ベア・エマージェンシーピル
itemBearEmergencyDrugDesc,items,Item,,,An emergency drug that activates instant recovery in critical moments.,,危機的状況で瞬時の回復を引き起こす緊急用の薬
buffBearEmergencyHeal,buff,Buff,,,Emergency Healing,,緊急治療
buffBearEmergencyHealDesc,buff,Buff,,,"Restores a large amount of health and stamina,and grants brief invincibility.",,大量の体力とスタミナを回復し、短時間の無敵状態になります
buffBearEmergencyCooldown,buff,Buff,,,Emergency Cooldown,,緊急回復のクールダウン
buffBearEmergencyCooldownDesc,buff,Buff,,,Emergency healing is unavailable during this cooldown.,,このクールダウン中は緊急回復が発動できません。
buffBearEmergencyReady,buff,Buff,,,Emergency Heal Ready,,緊急回復の準備状態
buffBearEmergencyReadyDesc,buff,Buff,,,Will trigger an emergency heal when your health drops too low.,,体力が危険になると自動的に回復が発動します。
buffBearAutoReviveReady,buffs,Buff,,,"Auto-Revive: Ready",,"自動蘇生:準備完了"
buffBearAutoReviveReadyDesc,buffs,Buff,,,"A protective charm hums softly... Awaiting fatal impact.",,"護符が静かに共鳴している…… 致命的な一撃を待っている。"
buffBearAutoReviveActive,buffs,Buff,,,"Auto-Revive: Triggered",,"自動蘇生:発動"
buffBearAutoReviveActiveDesc,buffs,Buff,,,"The charm shatters in a brilliant light,pulling you back from the brink.",,"護符がまばゆい光を放って砕け、あなたを死の淵から呼び戻す。"
buffAutoReviveInvincible,buffs,Buff,,,"Blessing of Invincibility",,"無敵の祝福"
buffAutoReviveInvincibleDesc,buffs,Buff,,,"For a brief moment,no harm can touch you.",,"しばしの間、いかなる害もあなたに届かない。"
auto_revive_success,buffs,Buff,,,Honey's Revive Ticket activated. You are back!,,Honeyの蘇生チケットが発動し、あなたは復活しました!
# ===== 鍛冶屋関連 =====,,,,,,,
npcForgeguardBoar,entityclasses,Entity Name,,,Grumble,,Grumble
npcForgeguardBoarName,entityclasses,Entity Name,,,Grumble the Forgeguard,,鍛冶屋Grumble
boarPickUpNPC,items,Item,,,Boar Companion Totem,,Grumbleを呼び出すお守り
boarPickUpNPCDesc,items,Item,,,"A totem that lets you summon your trusty Forgeguard,Grumble.","","頼れる鍛冶屋・Grumbleを呼び出せるお守り。"
letter_welcome_forgeguard,items,Quest,,,Worn Letter - Forgeguard,,古びた手紙 - 鍛冶屋
letter_welcome_forgeguardDesc,items,Quest,,,It smells of metal and fire. A strong hand wrote this.,,金属と火の匂いがする手紙。力強い筆跡で書かれている。
schematic_forgeguard_letter,items,Item,,,Forgeguard Letter Craft Schematic,,鍛冶屋の手紙クラフト図面
schematic_forgeguard_letterDesc,items,Item,,,Unlocks the recipe for the forgeguard's welcome letter.,,鍛冶屋の仲間を呼ぶ手紙のクラフト方法を解放します。
quest_welcome_forgeguard_title,quests,Quest,,,Welcome the Forgeguard,,鍛冶屋の仲間入り
quest_welcome_forgeguard_subtitle,quests,Quest,,,A task to welcome Grumble,,Grumbleを迎える準備
quest_welcome_forgeguardDesc,quests,Quest,,,You've discovered a letter that speaks of a steadfast forgeguard. Craft a solid tool to prove your strength and summon their aid.,,頼もしい鍛冶屋のことが書かれた手紙を見つけた。立派な道具を作って力を示せば、助けに来てくれるかもしれない。
grumble_summon_message,buffs,Buff,,,Grumble has arrived to help you!,,Grumbleが助けに来たよ!
grumble_revive_message,buffs,Buff,,,Grumble has risen from the grave... again.,,Grumbleが墓から蘇った…ふたたび。
reviveStoneGrumble,Blocks,Block,,,Grumble's grave marker.,,Grumbleの墓標
reviveStoneCommonDesc,Blocks,Block,,,"Perhaps,just perhaps... they might return.",,もしかすると――また戻ってきてくれるかもしれない。
dialog_grumble_greeting,Dialogue,Grumble,,,"Hey there.",,"やあ"
dialog_grumble_followme,Dialogue,Grumble,,,Follow Me,,ついてきて!
dialog_grumble_pickup,Dialogue,Grumble,,,Hop in!,,バッグに入って!
dialog_grumble_pickup_ref,Dialogue,Grumble,,,Let's head home!,,帰ろうか!
dialog_grumble_showpack,Dialogue,Grumble,,,What's in your pack?,,なに持ってる?
dialog_grumble_stayhere,Dialogue,Grumble,,,Stay right there,,ここで待ってて
dialog_grumble_guardhere,Dialogue,Grumble,,,Stay over here,,この辺見張ってて
dialog_grumble_wander,Dialogue,Grumble,,,Go play around here,,ちょっと遊んできて
dialog_grumble_loot,Dialogue,Grumble,,,Loot around here,,アイテム拾ってきて
dialog_grumble_dismiss,Dialogue,Grumble,,,Abandon,,自由にしてあげるね
dialog_grumble_hire,Dialogue,Grumble,,,"'If you've got an iron pickaxe,I'll join you.'",,「鉄のつるはしを持ってるなら、仲間になろう。」
dialog_grumble_menu_main,Dialogue,Grumble,,,Let's talk shop.,,鍛冶のことを話そうか
dialog_grumble_menu_trials,Dialogue,Grumble,,,I'm ready for the Forge Trial.,,鍛冶屋の試練に挑戦したい
dialog_boar_start_trial_1,dialog,Grumble,,,"I want to take on the first forge trial.",,最初の鍛冶の試練に挑戦したい
dialog_boar_confirm_start_trial_1,dialog,Grumble,,,"'This trial's simple: dig up some Mystic Ore.If you've got the grit,you'll do fine. '",,「この試練はシンプルだ。神秘の鉱石を集めてほしい。根気があれば大丈夫さ。」
dialog_boar_start_confirm,dialog,Grumble,,,"Yeah,I'm ready. Let's get to it!",,うん、準備できてるよ。始めよう!
dialog_boar_trial2_entry,dialog,Grumble,,,"I'm ready for the second forge trial.",,2つ目の鍛冶の試練に挑戦したい
dialog_boar_trial2_require_info,dialog,Grumble,,,"Can you remind me what the second trial needs?",,2つ目の試練に必要なものを教えてもらえる?
dialog_boar_trial2_explain,dialog,Grumble,,,"'To take on this trial,you'll need 10 Support Tickets.Once you've got 'em,swing by again!'",,「この試練に挑むにはサポートチケットが10枚必要だ。集まったらまた来てくれよ!」
dialog_boar_trial2_entry_text,dialog,Grumble,,,"Let's see if I've got what it takes…",,挑戦できるかな…
dialog_boar_start_trial_2,dialog,Grumble,,,"I've got the tickets. Let's start the second forge trial! (Needs 10 Support Tickets)",,チケットはあるよ。2つ目の鍛冶の試練、始めよう!(チケット10枚必要)
dialog_boar_confirm_start_trial_2,dialog,Grumble,,,"'Time to fire up the forge and craft some Mystic Steel.You ready to start the trial with 10 tickets?'",,「さあ、炉に火を入れて神秘の合金を鍛える時だ。チケット10枚で試練を始めようか?」
dialog_boar_trial3_entry,dialog,Grumble,,,"I'm ready for the third trial.",,3つ目のGrumbleの試練に挑戦したい
dialog_boar_trial3_require_info,dialog,Grumble,,,"What do I need for this trial?",,この試練に必要なものは?
dialog_boar_trial3_explain,dialog,Grumble,,,"'You'll need 20 Support Tickets to get started.Bring them here when you're set.'",,「始めるにはサポートチケットが20枚必要だ。準備ができたら持ってきてくれ。」
dialog_boar_trial3_entry_text,dialog,Grumble,,,"Let's see if I'm good to go…",,挑戦できるかな…
dialog_boar_start_trial_3,dialog,Grumble,,,"I've got the tickets! Let's do this. (Needs 20 Support Tickets)",,チケットはあるよ!試練を始めよう(チケット20枚必要)
dialog_boar_confirm_start_trial_3,dialog,Grumble,,,"'Your task this time is to craft a Big-Head Trap and put it to use.Let's see how you handle a bit of engineering and some zombie trouble.Shall we get started?'",,「今回はトラップを作って、それを使ってゾンビを倒してもらう。ちょっとした工作と実戦の組み合わせだな。始めようか?」
dialog_boar_trial4_entry,dialog,Grumble,,,"Time for the fourth trial.",,4つ目のGrumbleの試練に挑戦したい
dialog_boar_trial4_require_info,dialog,Grumble,,,"What's the final trial about?",,最後の試練って何をするの?
dialog_boar_trial4_explain,dialog,Grumble,,,"'This one's about precision and power.You'll need 30 Support Tickets to get started.'",,「今度の試練は精密さと火力がカギになる。始めるにはサポートチケットが30枚必要だ。」
dialog_boar_trial4_entry_text,dialog,Grumble,,,"It's time… I think I'm ready.",,いよいよだね…準備はできてる
dialog_boar_start_trial_4,dialog,Grumble,,,"Let's start the final trial! (Needs 30 Support Tickets)",,最後のGrumbleの試練、始めよう!(チケット30枚必要)
dialog_boar_confirm_start_trial_4,dialog,Grumble,,,"'Forge the Mystic Headshot Pistol yourself,then prove it works the way it should.One shot,one kill. Ready to show your skill?'",,「神秘の狙撃銃を自分の手で作って、それが本物だって証明してみな。一撃必殺だ。腕前、見せてもらおうか?」
dialog_grumble_menu_support,Dialogue,Grumble,,,Tell me about your support.,,支援について教えて
dialog_grumble_explain_support1,Dialogue,Grumble,,,Support Level 1 Effects,,支援レベル1の効果
dialog_grumble_support1_text,Dialogue,Grumble,,,"'You'll start forging mystic materials and mine more Mystic Ore.'",,"「神秘の素材を精錬できるようになって、鉱石の採掘量も増えるぞ。」"
dialog_grumble_explain_support2,Dialogue,Grumble,,,Support Level 2 Effects,,支援レベル2の効果
dialog_grumble_support2_text,Dialogue,Grumble,,,"'Faster crafting in the Mystic Forge—and I'll teach you how to build the Big-Head Trap.'",,"「神秘の炉でのクラフトが速くなる。それに、でかあたまトラップの作り方も教えてやろう。」"
dialog_grumble_explain_support3,Dialogue,Grumble,,,Support Level 3 Effects,,支援レベル3の効果
dialog_grumble_support3_text,Dialogue,Grumble,,,"'Even better yield,same fast crafting,and I'll teach you how to build a headshot weapon.'",,"「鉱石の採掘効率がさらにアップ、クラフトも速いまま。ヘッドショット用の作り方も教えてやろう。」"
dialog_grumble_explain_support4,Dialogue,Grumble,,,Support Level 4 Effects,,支援レベル4の効果
